timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773141751882,16,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,15,0,0
1773141751888,14,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141751888,14,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141751898,17,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,15,0,0
1773141751902,16,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,15,0,0
1773141751902,16,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,15,0,0
1773141751916,19,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,18,0,0
1773141751919,16,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,15,0,0
1773141751919,16,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,15,0,0
1773141751936,14,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141751936,14,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141751936,14,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141751951,15,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,14,0,0
1773141751951,15,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,14,0,0
1773141751951,15,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,14,0,0
1773141751966,17,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,17,0,0
1773141751966,17,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,17,0,0
1773141751966,17,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,16,0,0
1773141751984,15,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,14,0,0
1773141751984,15,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,14,0,0
1773141751984,15,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,14,0,0
1773141751999,15,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,14,0,0
1773141751999,15,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,14,0,0
1773141751999,15,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,14,0,0
1773141752014,14,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,14,0,0
1773141752014,14,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,14,0,0
1773141752014,14,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,14,0,0
1773141752028,13,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,12,0,0
1773141752028,13,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,12,0,0
1773141752028,13,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,12,0,0
1773141752041,13,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141752041,13,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141752041,13,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141752055,16,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,16,0,0
1773141752055,16,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,16,0,0
1773141752055,16,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,16,0,0
1773141752072,13,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,12,0,0
1773141752072,13,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,12,0,0
1773141752072,13,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,12,0,0
1773141752085,14,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141752085,14,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141752085,14,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141752099,14,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141752099,14,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,13,0,0
1773141752099,14,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,5,http://localhost:8072/articles?page=1&size=10,13,0,0
